"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223972.4",2.47995418775223,-0.843434657680162,0.770281180191738,-1.09496983617101,0.27352985152943,0.548478739694338,"DDX11L1","100287102"
"ENSG00000227232.4",701.719983020983,-0.216917242225873,0.19079282309806,-1.13692558610754,0.255569395034068,0.527727206224986,NA,NA
"ENSG00000243485.2",1.30461459100484,-0.752157967110188,0.774132391516479,-0.971614126153222,0.331242552261844,NA,NA,NA
"ENSG00000237613.2",1.22368954671618,-0.545305792707733,0.883174134979036,-0.617438590092629,0.536945474942341,NA,"FAM138A","645520"
"ENSG00000268020.2",0.68089873215097,1.18470165143275,1.21332862949883,0.976406245290776,0.32886318784664,NA,NA,NA
"ENSG00000240361.1",0.880467984389541,0.406801163422142,0.948980331978429,0.428671859377787,0.668162042451696,NA,NA,NA
"ENSG00000186092.4",1.18055950660724,-0.0378586608847536,0.864334545282363,-0.0438009345934286,0.965063082103041,NA,"OR4F5","79501"
"ENSG00000238009.2",5.8975053940062,0.589907029206815,0.550966835564923,1.07067611175175,0.284315087456989,0.558953910657366,"LOC100996442","100996442"
"ENSG00000233750.3",35.4285797112658,1.62425006334169,0.607126711980041,2.67530654028461,0.0074660949457624,0.0576814523954115,NA,NA
"ENSG00000237683.5",693.886202382387,-0.436426586197212,0.332103996231739,-1.3141262711355,0.188803714637385,0.448727450353281,NA,NA
"ENSG00000268903.1",2.59483017764581,-0.0329563069732843,0.520045923474351,-0.0633719167590201,0.949470349468899,0.980879921018312,NA,NA
"ENSG00000239906.1",10.907458021962,-0.644632128013662,0.560455450654899,-1.15019334232614,0.250064247732558,0.522076295082202,NA,NA
"ENSG00000241860.2",86.4158285223207,0.224617596424454,0.294574703254526,0.762514886522264,0.445752761773488,0.703450539717657,NA,NA
"ENSG00000222623.1",0.0740111696575709,0.244219767887837,3.64968891400214,0.066915228569449,0.946649189566226,NA,NA,NA
"ENSG00000241599.1",0.933416651928312,-0.263917187691578,1.00153423616998,-0.263512896674242,0.792155284610264,NA,NA,NA
"ENSG00000228463.4",39.5443427773797,-0.0849458754444614,0.41255300931866,-0.205902934957986,0.836866732808242,0.934617222926831,NA,NA
"ENSG00000237094.7",41.9100129944377,-0.0902917440021692,0.350983093437317,-0.257253827008891,0.796982833856434,0.914915095630178,NA,NA
"ENSG00000250575.1",3.24635098211691,-0.0775043312499251,0.476021234229047,-0.162816962095082,0.870662552658428,0.948244750587912,NA,NA
"ENSG00000233653.3",5.70737151083189,0.230388897953782,0.443835071478417,0.519086734597957,0.603700258482857,0.809510342434583,NA,NA
"ENSG00000235249.1",1.12087485734121,0.953721578995919,0.859021014444776,1.11024243057936,0.26689457324725,NA,NA,NA
"ENSG00000269732.1",0.557835069689088,0.601219694474083,1.27271584953644,0.472391142683629,0.636647625341982,NA,NA,NA
"ENSG00000236601.1",0.845756850389257,-1.52094364006516,1.05775908630061,-1.43789229491233,0.150464616250705,NA,NA,NA
"ENSG00000236743.1",1.01503465310423,-0.545073205461089,0.81066959121701,-0.672374061351929,0.501345591554293,NA,NA,NA
"ENSG00000236679.2",4.21456856682308,1.08200450950936,0.861537101257593,1.2559000743322,0.209152201624414,0.47402907515004,NA,NA
"ENSG00000231709.1",2.31312323980782,0.439220036102147,0.78365057330209,0.560479442069944,0.575152458209815,0.791628637120888,NA,NA
"ENSG00000235146.2",0.823787860791006,0.920097298357471,1.15271127253579,0.798202741900318,0.424752846538372,NA,NA,NA
"ENSG00000239664.2",0.625402148888524,-0.759097388786656,1.24790842616019,-0.608295747407041,0.542991341000861,NA,NA,NA
"ENSG00000230021.3",4.03342967880469,0.530361960970579,0.522625963996866,1.01480216733694,0.310200140414533,0.585171396794374,"LOC101928626","101928626"
"ENSG00000223659.1",0.961342062893386,0.210510267019902,1.06569887419904,0.197532597731341,0.84341077464124,NA,NA,NA
"ENSG00000225972.1",118.383419813362,0.757880727919332,0.507068930874236,1.49463057539864,0.135010881939058,0.370326892292381,NA,NA
"ENSG00000225630.1",13536.5801437791,0.223817078977902,0.454483513276676,0.492464682303337,0.622390883150415,0.820697421602972,NA,NA
"ENSG00000237973.1",1609.59630319827,0.564094681901747,0.527382901284843,1.06961124550581,0.284794331229379,0.559327081560242,NA,NA
"ENSG00000229344.1",259.780887348668,0.133473518299823,0.382241613024496,0.349186257466083,0.726949482617485,0.879924208793101,NA,NA
"ENSG00000240409.1",83.6914106814723,0.647819487594591,0.484444011267857,1.33724325727375,0.1811432461432,0.438368802556215,NA,NA
"ENSG00000248527.1",35896.755943928,0.108250464117858,0.324929563531141,0.333150554050718,0.739020640236675,0.886683874096962,NA,NA
"ENSG00000198744.5",330.262603873972,-0.172017760773296,0.402005215410905,-0.427899326125582,0.668724417743107,0.847229153386211,NA,NA
"ENSG00000268663.1",0.239225640916562,-0.0535485627256905,1.88431143677857,-0.0284181063069051,0.977328683288311,NA,NA,NA
"ENSG00000185097.2",0.72936706514597,0.648565414342623,1.01727026735079,0.637554674660493,0.523763608429686,NA,NA,NA
"ENSG00000229376.3",16.9009110801242,0.179467523146569,0.328397563827676,0.546494684841032,0.584725940330767,0.796541815253464,NA,NA
"ENSG00000224956.5",264.156918035918,-0.251228307471679,0.310731805609641,-0.808505286347435,0.418799764105117,0.680864053868597,NA,NA
"ENSG00000235373.1",18.3039100527199,-0.161920330877736,0.325413001180253,-0.497584086347075,0.61877722250787,0.818131163022623,NA,NA
