"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000223972.4",2.47995418775223,-0.503102515735357,0.779613735606044,-0.645322796094995,0.518718022915211,0.753997566629743,"DDX11L1","100287102"
"ENSG00000227232.4",701.719983020983,-0.116443132588543,0.190808797576454,-0.610260816416946,0.541689048858863,0.769826659905414,NA,NA
"ENSG00000243485.2",1.30461459100484,0.407390154619697,0.851349357586551,0.478522889562738,0.632278086701446,0.827332256329904,NA,NA
"ENSG00000237613.2",1.22368954671618,-0.345115558586955,0.891558431843257,-0.387092473427057,0.698687749462377,0.865380968475597,"FAM138A","645520"
"ENSG00000268020.2",0.68089873215097,0.759645358030385,1.1922993711407,0.637126359719218,0.524042539849496,NA,NA,NA
"ENSG00000240361.1",0.880467984389541,0.370367554451096,0.939043071531894,0.394409549124198,0.69327869482532,NA,NA,NA
"ENSG00000186092.4",1.18055950660724,-0.524893178159248,0.824946816663823,-0.636275172600792,0.524597084141867,0.758331890713265,"OR4F5","79501"
"ENSG00000238009.2",5.8975053940062,-0.314295152332189,0.526557861685317,-0.596886259235113,0.550583321853523,0.776256685516844,"LOC100996442","100996442"
"ENSG00000233750.3",35.4285797112658,2.16247328660696,0.610222649484931,3.54374471093826,0.000394487025567896,0.00626271159719608,NA,NA
"ENSG00000237683.5",693.886202382387,0.122399051225519,0.332256956149086,0.368386722866978,0.712584896076319,0.872824820104182,NA,NA
"ENSG00000268903.1",2.59483017764581,0.129064211188243,0.524762318339539,0.245947940005734,0.805722532597181,0.916526344495905,NA,NA
"ENSG00000239906.1",10.907458021962,-0.00273314678138524,0.566916809837843,-0.00482107204082908,0.996153355953198,0.998246121900224,NA,NA
"ENSG00000241860.2",86.4158285223207,0.295681309007513,0.294576020623371,1.00375213291904,0.315498101798295,0.586524243882169,NA,NA
"ENSG00000222623.1",0.0740111696575709,0.0281439719329961,3.64968891400214,0.00771133447155481,0.993847306260013,NA,NA,NA
"ENSG00000241599.1",0.933416651928312,0.0981734870200041,1.02371436010977,0.0958992965669418,0.92360055326488,NA,NA,NA
"ENSG00000228463.4",39.5443427773797,-0.169992237125658,0.411871663290913,-0.412731081734043,0.67980364987626,0.855523422939533,NA,NA
"ENSG00000237094.7",41.9100129944377,0.0520066383275935,0.351336034638985,0.1480253466771,0.882322764839172,0.952288665574981,NA,NA
"ENSG00000250575.1",3.24635098211691,-0.0382975124473911,0.474415429058689,-0.0807256891357414,0.935660106509039,0.974955523187985,NA,NA
"ENSG00000233653.3",5.70737151083189,0.0599783614812698,0.436583436381203,0.137381211661222,0.890729481153079,0.956072329425253,NA,NA
"ENSG00000235249.1",1.12087485734121,0.07078526101008,0.767291875977134,0.0922533695797783,0.926496735997353,0.971080705153773,NA,NA
"ENSG00000269732.1",0.557835069689088,-0.301114756198082,1.21634334026601,-0.247557368244586,0.804476899273103,NA,NA,NA
"ENSG00000236601.1",0.845756850389257,-1.14444236889019,1.0780018747418,-1.06163300426941,0.288402324514387,NA,NA,NA
"ENSG00000236743.1",1.01503465310423,0.102027172883156,0.856210779150666,0.119161280572015,0.905147581654125,NA,NA,NA
"ENSG00000236679.2",4.21456856682308,2.57231605528057,0.920986261230689,2.7930015501461,0.00522214416939786,0.0454238166535472,NA,NA
"ENSG00000231709.1",2.31312323980782,-0.128168991378929,0.756510059714862,-0.169421397287483,0.865465194181412,0.945831636616159,NA,NA
"ENSG00000235146.2",0.823787860791006,0.818630930375524,1.13610583039972,0.720558691339082,0.471181077087071,NA,NA,NA
"ENSG00000239664.2",0.625402148888524,-0.0655989946523472,1.29444550983403,-0.050677293214728,0.959582670784314,NA,NA,NA
"ENSG00000230021.3",4.03342967880469,0.427603736481525,0.515773380014022,0.829053520501386,0.407074122887322,0.667786476285694,"LOC101928626","101928626"
"ENSG00000223659.1",0.961342062893386,0.251178144860823,1.06320271368931,0.236246711588268,0.813241234562803,NA,NA,NA
"ENSG00000225972.1",118.383419813362,-0.0150810015526363,0.505892097530034,-0.0298107079084014,0.976218018887224,0.990842523213653,NA,NA
"ENSG00000225630.1",13536.5801437791,0.953072637612699,0.454492947374536,2.09700203956585,0.0359933947946504,0.165455076882524,NA,NA
"ENSG00000237973.1",1609.59630319827,0.588342034323166,0.527378293425432,1.11559774389227,0.264594358279413,0.536617213012318,NA,NA
"ENSG00000229344.1",259.780887348668,0.661421325077888,0.382621401974194,1.72865741870471,0.0838704265614552,0.279841615558717,NA,NA
"ENSG00000240409.1",83.6914106814723,1.07373719849313,0.485267520601189,2.21267064641561,0.0269203605347059,0.137584966791528,NA,NA
"ENSG00000248527.1",35896.755943928,0.357345674342672,0.32493075956717,1.09975945280983,0.271436943217221,0.544234637098614,NA,NA
"ENSG00000198744.5",330.262603873972,0.190149477319243,0.402168174847383,0.472810851806962,0.636348131247868,0.829856256660387,NA,NA
"ENSG00000268663.1",0.239225640916562,0.609017656782933,1.88555744773674,0.322990772577067,0.746702230280919,NA,NA,NA
"ENSG00000185097.2",0.72936706514597,-0.411381035039901,0.91860559537521,-0.447832058841172,0.654274404589517,NA,NA,NA
"ENSG00000229376.3",16.9009110801242,-0.177945458027032,0.322621317390775,-0.551561376868027,0.581248904509554,0.796249897190811,NA,NA
"ENSG00000224956.5",264.156918035918,0.00486717991404362,0.31089380232755,0.0156554420757339,0.98750927470859,0.994998373818534,NA,NA
"ENSG00000235373.1",18.3039100527199,0.135204457540743,0.328157294518022,0.412011129416834,0.680331265824767,0.855763354396601,NA,NA
